,MaxDelta,MD_score,MD_test,MinPerfReq,MPR_score,MPR_test,MaxScore,MS_score,MS_test
Individual_LR_chi2,4,0.7539240269617962,0.8365666781903989,12,0.7939361487010188,0.7517355102705563,13,0.823491069594683,0.7517355102705563
Individual_LR_ANOVA,4,0.7970285239445095,0.8923345488726537,12,0.7801104712958541,0.7517355102705563,5,0.8067016338655659,0.9027686034035762
Individual_LR_mutualinfo,5,0.7978101313937713,0.8530520358573223,17,0.7760007220825023,0.7509447030424021,5,0.7978101313937713,0.8530520358573223
Individual_LR_sfs(rf),17,0.828713154747789,0.7469568236591642,16,0.7976925737302205,0.7469568236591642,2,0.7974968263993464,0.884446323991132
Individual_LR_sfs(lr),24,0.8257864176758405,0.7509828685502434,23,0.7776605803971692,0.7509828685502434,5,0.8067016338655659,0.9027686034035762
Individual_LR_im(rf),2,0.7967297753913029,0.8844358059762062,18,0.7966236148315631,0.7509447030424021,2,0.7967297753913029,0.8844358059762062
Individual_LR_im(lr),23,0.8265358918148458,0.7509828685502434,22,0.7781423522092092,0.7509828685502434,23,0.8265358918148458,0.7509828685502434
Individual_GB_chi2,5,0.8311270838614814,0.8959320747389697,13,0.89320819108219,0.9050514269352768,15,0.9159533644086876,0.9215254485114605
Individual_GB_ANOVA,3,0.8604659740220082,0.896792795989886,13,0.89320819108219,0.9050499266311156,17,0.9155594730913801,0.921435748527114
Individual_GB_mutualinfo,2,0.8271180464711427,0.8707379933215301,16,0.8858247038405109,0.8981009351182861,20,0.9233820901440832,0.9285893436239072
Individual_GB_sfs(rf),3,0.878047894671892,0.9082043860625626,3,0.878047894671892,0.9082043860625626,4,0.9005760980286637,0.9139146666194852
Individual_GB_sfs(lr),5,0.8782352319808948,0.8998252483022541,10,0.8858381040313082,0.9020894321660818,11,0.8966317041775106,0.9129420100524764
Individual_GB_im(rf),2,0.8753852359607514,0.919899716037121,6,0.8912153090110098,0.914519203614798,7,0.9062628618027759,0.9144628430438152
Individual_GB_im(lr),4,0.8467073525981534,0.8724033705806925,12,0.8908661110187539,0.910707232097286,13,0.9026656136799479,0.917712506743789
Individual_DNN_chi2,3,0.7824579518483198,0.8328830096631954,12,0.8408432694351093,0.8099646398490576,17,0.8872008418325962,0.8099646398490576
Individual_DNN_ANOVA,10,0.8619448997030708,0.8110683326480472,9,0.8392443608151904,0.8178575846287056,11,0.8725593929660835,0.8099646398490576
Individual_DNN_mutualinfo,5,0.8000292985834083,0.8627806385169927,15,0.821176279872698,0.8111278767858843,17,0.8817752015439044,0.8099646398490576
Individual_DNN_sfs(rf),17,0.8764997993018826,0.8099646398490576,16,0.841907045223388,0.8099866292920311,9,0.8746522115455049,0.8099606014639559
Individual_DNN_sfs(lr),21,0.8676747074449956,0.8099646398490576,20,0.8425485956366952,0.8185269395775677,6,0.8505280219176073,0.8169634434569035
Individual_DNN_im(rf),2,0.8318192390204888,0.9306291675584036,18,0.8456952196438842,0.8099646398490576,3,0.8478424246844567,0.8165061841407933
Individual_DNN_im(lr),2,0.7809005367932398,0.772303154492755,11,0.8392969111869538,0.8099646398490576,17,0.8945493906860216,0.8099646398490576
Set_LR_union,17,0.8254401193068548,0.7517355102705563,13,0.7766124223325571,0.7649774673050094,17,0.8254401193068548,0.7517355102705563
Set_LR_intersection,5,0.7953771066579508,0.751731684352495,8,0.7459138690299151,0.751731684352495,5,0.7953771066579508,0.751731684352495
Set_LR_quorum,12,0.7962287646259292,0.751731684352495,14,0.7967345670736632,0.751731684352495,3,0.7976386296360776,0.8166488296149941
Set_GB_union,10,0.9123309138035978,0.8667864496792095,24,0.9223480084332742,0.7509828685502434,10,0.9123309138035978,0.8667864496792095
Set_GB_intersection,3,0.8213200772089776,0.7568674388929005,12,0.8845384781289262,0.7517355102705563,15,0.9129112518932935,0.7517355102705563
Set_GB_quorum,17,0.9132410185305047,0.7507183211444144,14,0.8811868048370342,0.751731684352495,17,0.9132410185305047,0.7507183211444144
Set_DNN_union,10,0.891105246259252,0.7517115797397789,24,0.8861935219738667,0.8099646398490576,10,0.891105246259252,0.7517115797397789
Set_DNN_intersection,8,0.8201356173961702,0.8099646398490576,12,0.8198560820968985,0.8099646398490576,19,0.870084518145366,0.8099646398490576
Set_DNN_quorum,23,0.8831257415121441,0.8099646398490576,10,0.8414303445798603,0.8099646398490576,7,0.848445596123088,0.8099646398490576
Greedy_LR_greedy,16,0.8250464156567545,0.7517355102705563,15,0.7961501591700653,0.7517355102705563,2,0.7967297753913029,0.8844358059762062
Greedy_GB_greedy,2,0.8753852359607514,0.919899716037121,4,0.8791080470348829,0.914569536423841,8,0.9092097436442467,0.9165319787577928
Greedy_DNN_greedy,16,0.8627918645648236,0.8099646398490576,15,0.8357155037709845,0.8099646398490576,4,0.8475679813058559,0.8168687546222244
